date,public,private,total,public_cumulative,private_cumulative,total_cumulative
2022-03-09 00:00:00+00:00,7,0,7,7,0,7
2022-03-10 00:00:00+00:00,0,0,0,7,0,7
2022-03-11 00:00:00+00:00,0,0,0,7,0,7
2022-03-12 00:00:00+00:00,0,0,0,7,0,7
2022-03-13 00:00:00+00:00,0,0,0,7,0,7
2022-03-14 00:00:00+00:00,0,0,0,7,0,7
2022-03-15 00:00:00+00:00,0,0,0,7,0,7
2022-03-16 00:00:00+00:00,0,0,0,7,0,7
2022-03-17 00:00:00+00:00,0,0,0,7,0,7
2022-03-18 00:00:00+00:00,0,0,0,7,0,7
2022-03-19 00:00:00+00:00,0,0,0,7,0,7
2022-03-20 00:00:00+00:00,0,0,0,7,0,7
2022-03-21 00:00:00+00:00,0,0,0,7,0,7
2022-03-22 00:00:00+00:00,0,0,0,7,0,7
2022-03-23 00:00:00+00:00,0,0,0,7,0,7
2022-03-24 00:00:00+00:00,0,0,0,7,0,7
2022-03-25 00:00:00+00:00,0,0,0,7,0,7
2022-03-26 00:00:00+00:00,0,0,0,7,0,7
2022-03-27 00:00:00+00:00,0,0,0,7,0,7
2022-03-28 00:00:00+00:00,0,0,0,7,0,7
2022-03-29 00:00:00+00:00,3,2,5,10,2,12
2022-03-30 00:00:00+00:00,1,0,1,11,2,13
2022-03-31 00:00:00+00:00,11,0,11,22,2,24
2022-04-01 00:00:00+00:00,1,0,1,23,2,25
2022-04-02 00:00:00+00:00,0,0,0,23,2,25
2022-04-03 00:00:00+00:00,0,0,0,23,2,25
2022-04-04 00:00:00+00:00,1,0,1,24,2,26
2022-04-05 00:00:00+00:00,0,0,0,24,2,26
2022-04-06 00:00:00+00:00,1,1,2,25,3,28
2022-04-07 00:00:00+00:00,3,0,3,28,3,31
2022-04-08 00:00:00+00:00,0,0,0,28,3,31
2022-04-09 00:00:00+00:00,0,0,0,28,3,31
2022-04-10 00:00:00+00:00,0,0,0,28,3,31
2022-04-11 00:00:00+00:00,14,0,14,42,3,45
2022-04-12 00:00:00+00:00,0,0,0,42,3,45
2022-04-13 00:00:00+00:00,1,0,1,43,3,46
2022-04-14 00:00:00+00:00,1,1,2,44,4,48
2022-04-15 00:00:00+00:00,0,0,0,44,4,48
2022-04-16 00:00:00+00:00,0,0,0,44,4,48
2022-04-17 00:00:00+00:00,0,0,0,44,4,48
2022-04-18 00:00:00+00:00,0,0,0,44,4,48
2022-04-19 00:00:00+00:00,1,0,1,45,4,49
2022-04-20 00:00:00+00:00,0,0,0,45,4,49
2022-04-21 00:00:00+00:00,0,0,0,45,4,49
2022-04-22 00:00:00+00:00,0,0,0,45,4,49
2022-04-23 00:00:00+00:00,0,0,0,45,4,49
2022-04-24 00:00:00+00:00,0,0,0,45,4,49
2022-04-25 00:00:00+00:00,2,1,3,47,5,52
2022-04-26 00:00:00+00:00,0,0,0,47,5,52
2022-04-27 00:00:00+00:00,1,0,1,48,5,53
2022-04-28 00:00:00+00:00,1,0,1,49,5,54
2022-04-29 00:00:00+00:00,0,0,0,49,5,54
2022-04-30 00:00:00+00:00,0,0,0,49,5,54
2022-05-01 00:00:00+00:00,0,0,0,49,5,54
2022-05-02 00:00:00+00:00,0,0,0,49,5,54
2022-05-03 00:00:00+00:00,0,0,0,49,5,54
2022-05-04 00:00:00+00:00,0,1,1,49,6,55
2022-05-05 00:00:00+00:00,0,0,0,49,6,55
2022-05-06 00:00:00+00:00,1,0,1,50,6,56
2022-05-07 00:00:00+00:00,1,0,1,51,6,57
2022-05-08 00:00:00+00:00,0,0,0,51,6,57
2022-05-09 00:00:00+00:00,1,0,1,52,6,58
2022-05-10 00:00:00+00:00,0,0,0,52,6,58
2022-05-11 00:00:00+00:00,0,0,0,52,6,58
2022-05-12 00:00:00+00:00,0,0,0,52,6,58
2022-05-13 00:00:00+00:00,1,0,1,53,6,59
2022-05-14 00:00:00+00:00,0,0,0,53,6,59
2022-05-15 00:00:00+00:00,0,0,0,53,6,59
2022-05-16 00:00:00+00:00,2,0,2,55,6,61
2022-05-17 00:00:00+00:00,1,0,1,56,6,62
2022-05-18 00:00:00+00:00,7,1,8,63,7,70
2022-05-19 00:00:00+00:00,0,0,0,63,7,70
2022-05-20 00:00:00+00:00,2,0,2,65,7,72
2022-05-21 00:00:00+00:00,1,0,1,66,7,73
2022-05-22 00:00:00+00:00,0,0,0,66,7,73
2022-05-23 00:00:00+00:00,0,0,0,66,7,73
2022-05-24 00:00:00+00:00,0,3,3,66,10,76
2022-05-25 00:00:00+00:00,0,0,0,66,10,76
2022-05-26 00:00:00+00:00,0,0,0,66,10,76
2022-05-27 00:00:00+00:00,3,1,4,69,11,80
2022-05-28 00:00:00+00:00,0,0,0,69,11,80
2022-05-29 00:00:00+00:00,1,0,1,70,11,81
2022-05-30 00:00:00+00:00,11,4,15,81,15,96
2022-05-31 00:00:00+00:00,0,0,0,81,15,96
2022-06-01 00:00:00+00:00,1,1,2,82,16,98
2022-06-02 00:00:00+00:00,0,0,0,82,16,98
2022-06-03 00:00:00+00:00,0,0,0,82,16,98
2022-06-04 00:00:00+00:00,0,0,0,82,16,98
2022-06-05 00:00:00+00:00,0,0,0,82,16,98
2022-06-06 00:00:00+00:00,2,0,2,84,16,100
2022-06-07 00:00:00+00:00,0,0,0,84,16,100
2022-06-08 00:00:00+00:00,0,0,0,84,16,100
2022-06-09 00:00:00+00:00,0,0,0,84,16,100
2022-06-10 00:00:00+00:00,0,0,0,84,16,100
2022-06-11 00:00:00+00:00,0,0,0,84,16,100
2022-06-12 00:00:00+00:00,0,0,0,84,16,100
2022-06-13 00:00:00+00:00,1,0,1,85,16,101
2022-06-14 00:00:00+00:00,0,0,0,85,16,101
2022-06-15 00:00:00+00:00,0,0,0,85,16,101
2022-06-16 00:00:00+00:00,0,0,0,85,16,101
2022-06-17 00:00:00+00:00,0,0,0,85,16,101
2022-06-18 00:00:00+00:00,0,0,0,85,16,101
2022-06-19 00:00:00+00:00,0,0,0,85,16,101
2022-06-20 00:00:00+00:00,0,1,1,85,17,102
2022-06-21 00:00:00+00:00,0,0,0,85,17,102
2022-06-22 00:00:00+00:00,7,1,8,92,18,110
2022-06-23 00:00:00+00:00,0,0,0,92,18,110
2022-06-24 00:00:00+00:00,3,0,3,95,18,113
2022-06-25 00:00:00+00:00,0,0,0,95,18,113
2022-06-26 00:00:00+00:00,0,0,0,95,18,113
2022-06-27 00:00:00+00:00,0,0,0,95,18,113
2022-06-28 00:00:00+00:00,3,1,4,98,19,117
2022-06-29 00:00:00+00:00,5,2,7,103,21,124
2022-06-30 00:00:00+00:00,0,1,1,103,22,125
2022-07-01 00:00:00+00:00,1,1,2,104,23,127
2022-07-02 00:00:00+00:00,0,0,0,104,23,127
2022-07-03 00:00:00+00:00,0,1,1,104,24,128
2022-07-04 00:00:00+00:00,0,0,0,104,24,128
2022-07-05 00:00:00+00:00,8,2,10,112,26,138
2022-07-06 00:00:00+00:00,1,2,3,113,28,141
2022-07-07 00:00:00+00:00,0,1,1,113,29,142
2022-07-08 00:00:00+00:00,1,1,2,114,30,144
